,hidden_layers,neurons,learning_rate,metrics,MAE_avg,MSE_avg,RMSE_avg
0,2,30,0.01,"[[14.726191, 324.9546, 18.026496882194, 1, 1], [16.870377, 425.27518, 20.622201070738136, 1, 1], [19.339859, 543.31647, 23.309149861913802, 1, 1]]",16.978808720906574,431.1820780436198,20.65261593828198
1,2,30,0.005,"[[14.418542, 329.09015, 18.14084201259085, 1, 1], [15.931014, 381.49033, 19.531777336631052, 1, 1], [19.402523, 546.5337, 23.37806004368733, 1, 1]]",16.584026336669922,419.0380554199219,20.350226464303077
2,2,50,0.01,"[[14.985275, 337.7301, 18.37743460168101, 1, 1], [16.863508, 424.92682, 20.613753148023683, 1, 1], [19.313372, 542.0129, 23.28117003971168, 1, 1]]",17.054051717122395,434.8899332682292,20.757452596472124
3,2,50,0.005,"[[14.645704, 321.22656, 17.92279449472096, 1, 1], [16.878859, 425.6604, 20.63153897290808, 1, 1], [18.413998, 494.0832, 22.22798216028546, 1, 1]]",16.64618682861328,413.65671793619794,20.2607718759715
4,2,70,0.01,"[[15.844305, 385.64395, 19.637819416015, 1, 1], [16.935562, 428.35315, 20.69669416631706, 1, 1], [19.368742, 544.81586, 23.341290815496766, 1, 1]]",17.382869720458984,452.9376525878906,21.22526813260961
5,2,70,0.005,"[[14.765649, 326.92957, 18.08119369482246, 1, 1], [17.713694, 488.52487, 22.102598757299376, 1, 1], [19.760525, 567.324, 23.818563655463674, 1, 1]]",17.413289070129395,460.92613728841144,21.334118702528503
6,2,90,0.01,"[[16.044374, 395.80612, 19.894876773334683, 1, 1], [16.925072, 427.8521, 20.684586334186292, 1, 1], [20.065823, 581.6087, 24.1165649215074, 1, 1]]",17.678422927856445,468.4223124186198,21.565342676342794
7,2,90,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 1, 1], [57.898148, 3627.0789, 60.22523439075912, 1, 1], [52.462963, 3100.2222, 55.67963871981166, 1, 1]]",58.47839482625326,3757.726806640625,61.10933668278511
8,4,30,0.01,"[[14.707002, 324.0122, 18.000339081007613, 1, 1], [16.9036, 426.82947, 20.65985159127329, 1, 1], [19.26847, 539.78235, 23.23321649347788, 1, 1]]",16.959691047668457,430.2080078125,20.631135721919595
9,4,30,0.005,"[[14.397183, 326.73694, 18.075866188832073, 1, 1], [15.9752655, 383.3734, 19.57992372523288, 1, 1], [19.474953, 550.2185, 23.456736897091528, 1, 1]]",16.615800539652508,420.109619140625,20.370842270385495
10,4,50,0.01,"[[14.910402, 333.732, 18.268333110300627, 1, 1], [16.936882, 428.416, 20.69821212345216, 1, 1], [19.466297, 549.7754, 23.44728962215036, 1, 1]]",17.10452715555827,437.3077901204427,20.804611618634382
11,4,50,0.005,"[[14.633507, 320.71307, 17.908463745683736, 1, 1], [16.872396, 425.34946, 20.624001958570247, 1, 1], [19.752302, 564.671, 23.762807504750203, 1, 1]]",17.086068471272785,436.9111836751302,20.76509106966806
12,4,70,0.01,"[[15.763953, 381.45657, 19.530913278347434, 1, 1], [16.92442, 427.82098, 20.6838338778554, 1, 1], [19.199947, 536.3801, 23.15988184238264, 1, 1]]",17.296106656392414,448.5525614420573,21.124876332861824
13,4,70,0.005,"[[14.705617, 323.94547, 17.998485077580575, 1, 1], [16.918566, 427.54184, 20.677084891241545, 1, 1], [19.596142, 556.4723, 23.58966489882937, 1, 1]]",17.07344150543213,435.9865315755208,20.755078289217163
14,4,90,0.01,"[[16.09201, 398.1881, 19.954651346279206, 1, 1], [16.926666, 427.92807, 20.68642236029129, 1, 1], [20.496147, 604.8379, 24.59345219006474, 1, 1]]",17.838274637858074,476.9846903483073,21.744841965545078
15,4,90,0.005,"[[14.865122, 331.47278, 18.206393885674135, 1, 1], [16.914446, 427.34558, 20.67233854827962, 1, 1], [19.466759, 549.799, 23.447793312601267, 1, 1]]",17.082108815511067,436.20579020182294,20.775508582185008
16,6,30,0.01,"[[14.644001, 321.15396, 17.920768989684586, 1, 1], [16.89134, 426.24713, 20.645753348997857, 1, 1], [19.492962, 551.1418, 23.47640910931586, 1, 1]]",17.00943438212077,432.8476257324219,20.68097714933277
17,6,30,0.005,"[[14.583317, 342.87375, 18.516850401169656, 1, 1], [15.67838, 370.9085, 19.258985131641314, 1, 1], [19.219261, 537.33606, 23.180510338866842, 1, 1]]",16.493652661641438,417.03943888346356,20.318781957225937
