,hidden_layers,neurons,learning_rate,metrics,MAE_avg,MSE_avg,RMSE_avg
0,2,30,0.01,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
1,2,30,0.005,"[[23.843973, 906.0083, 30.099971773761684, 55, 54], [20.761091, 715.9473, 26.757192054850528, 109, 54], [22.277317, 817.9405, 28.599658926684008, 163, 54]]",22.294127146402996,813.2987060546875,28.485607585098744
2,2,50,0.01,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
3,2,50,0.005,"[[23.384949, 868.4438, 29.469370312599043, 55, 54], [24.63458, 1026.2827, 32.03564756398331, 109, 54], [19.479385, 655.3337, 25.59948591669799, 163, 54]]",22.499638239542644,850.0200602213541,29.034834597760113
4,2,70,0.01,"[[23.905916, 873.96796, 29.562949050170364, 55, 54], [25.372856, 1134.375, 33.6804839632687, 109, 54], [24.201042, 978.6134, 31.28279724257907, 163, 54]]",24.493271509806316,995.6521199544271,31.508743418672708
5,2,70,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
6,2,90,0.01,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
7,2,90,0.005,"[[25.054478, 933.1593, 30.547656240009847, 55, 54], [24.978195, 1020.06415, 31.93844310465397, 109, 54], [21.635899, 785.94385, 28.034690075979974, 163, 54]]",23.88952382405599,913.0557657877604,30.173596473547928
8,4,30,0.01,"[[26.23965, 1088.6537, 32.9947524088822, 55, 54], [21.827173, 723.13605, 26.891189028439804, 109, 54], [19.324926, 578.5606, 24.053286842137734, 163, 54]]",22.463916778564453,796.783447265625,27.979742759819914
9,4,30,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
10,4,50,0.01,"[[26.571665, 1060.167, 32.56020565333549, 55, 54], [23.297289, 871.7274, 29.525030347015523, 109, 54], [17.446882, 423.02774, 20.56763818425722, 163, 54]]",22.43861198425293,784.9740498860677,27.55095806153608
11,4,50,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
12,4,70,0.01,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
